Name (category),Address,website,stops
Fischer (food),"7 Avenue du Rock'n'Roll, 4361 Esch-sur-Alzette",rockhalcafe.lu,",220401001,;"
Urban (food),"5 Avenue du Rock'n'Roll, 4361 Esch-sur-Alzette",urban.lu,",220401001,;"
Buffalo Grill (food),"Belval Plaza II, 4361 Esch-sur-Alzette",buffalo-grill.fr,",220401001,;"
Utopolis (cinema),"7 Avenue du Rock'n'Roll, 4361 Esch-sur-Alzette",utopolis.lu,",220401001,;"
